iter	Passed	Remaining
0	3	17952
1	10	25288
2	16	25871
3	22	26125
4	28	25949
5	33	25690
6	38	25593
7	44	25392
8	47	24392
9	51	23776
10	55	23201
11	59	22584
12	62	22080
13	66	21777
14	69	21286
15	72	20804
16	75	20236
17	77	19787
18	80	19327
19	82	18899
20	84	18423
21	86	17973
22	88	17594
23	90	17237
24	91	16800
25	93	16491
26	94	16023
27	96	15701
28	97	15416
29	99	15146
30	101	14894
31	102	14703
32	104	14528
33	106	14358
34	108	14199
35	110	14046
36	112	13876
37	114	13717
38	115	13552
39	117	13413
40	119	13262
41	121	13182
42	123	13074
43	125	12977
44	127	12864
45	128	12744
46	130	12626
47	131	12516
48	133	12413
49	135	12325
50	137	12249
51	139	12162
52	141	12106
53	142	12039
54	144	11980
55	146	11918
56	148	11829
57	150	11779
58	152	11721
59	154	11668
60	156	11629
61	157	11561
62	159	11500
63	161	11434
64	163	11392
65	165	11346
66	166	11293
67	168	11252
68	170	11195
69	171	11132
70	173	11095
71	175	11044
72	177	11010
73	179	10990
74	181	10935
75	183	10904
76	185	10880
77	186	10838
78	188	10799
79	190	10780
80	191	10714
81	193	10673
82	195	10641
83	197	10603
84	198	10572
85	200	10536
86	202	10501
87	204	10477
88	205	10442
89	207	10425
90	209	10371
91	211	10347
92	213	10329
93	214	10310
94	216	10255
95	217	10188
96	218	10154
97	220	10114
98	222	10100
99	223	10083
100	226	10072
101	227	10055
102	229	10024
103	231	10005
104	233	9995
105	235	9970
106	236	9947
107	238	9928
108	240	9917
109	242	9916
110	244	9898
111	246	9877
112	248	9865
113	249	9840
114	251	9822
115	252	9783
116	254	9771
117	256	9747
118	257	9695
119	259	9677
120	261	9668
121	262	9655
122	265	9651
123	267	9645
124	268	9625
125	270	9616
126	272	9595
127	274	9585
128	276	9575
129	277	9557
130	279	9554
131	281	9544
132	283	9539
133	285	9533
134	287	9524
135	289	9509
136	291	9490
137	293	9480
138	294	9465
139	296	9453
140	298	9443
141	300	9438
142	302	9434
143	304	9420
144	306	9414
145	307	9399
146	309	9389
147	311	9382
148	313	9375
149	315	9368
150	317	9358
151	319	9345
152	321	9337
153	323	9330
154	325	9326
155	326	9317
156	328	9312
157	330	9309
158	333	9309
159	335	9309
160	337	9298
161	339	9292
162	340	9282
163	342	9276
164	344	9263
165	345	9238
166	347	9230
167	349	9216
168	350	9198
169	352	9190
170	354	9177
171	356	9170
172	357	9157
173	359	9153
174	362	9165
175	364	9161
176	366	9150
177	367	9141
178	369	9129
179	371	9119
180	372	9089
181	373	9081
182	376	9079
183	377	9067
184	378	9036
185	380	9033
186	381	9010
187	383	8997
188	384	8987
189	386	8982
190	388	8976
191	390	8975
192	392	8962
193	393	8948
194	395	8941
195	397	8935
196	398	8921
197	400	8911
198	402	8897
199	403	8885
200	405	8872
201	406	8864
202	408	8862
203	410	8849
204	412	8841
205	414	8834
206	415	8824
207	417	8811
208	418	8800
209	420	8798
210	422	8785
211	423	8776
212	425	8774
213	427	8768
214	428	8751
215	430	8743
216	432	8731
217	433	8721
218	435	8714
219	437	8704
220	438	8694
221	440	8688
222	441	8679
223	443	8672
224	445	8669
225	447	8659
226	449	8657
227	450	8649
228	452	8638
229	453	8626
230	455	8620
231	457	8616
232	459	8609
233	460	8602
234	462	8592
235	463	8575
236	464	8562
237	466	8561
238	468	8558
239	470	8553
240	472	8542
241	473	8535
242	475	8533
243	477	8523
244	479	8519
245	480	8510
246	482	8503
247	484	8498
248	486	8496
249	487	8491
250	489	8490
251	491	8485
252	493	8482
253	495	8479
254	497	8474
255	499	8471
256	500	8469
257	502	8466
258	504	8464
259	506	8455
260	508	8449
261	510	8448
262	511	8439
263	512	8429
264	514	8418
265	516	8413
266	517	8407
267	519	8402
268	521	8400
269	522	8389
270	524	8387
271	526	8385
272	528	8376
273	529	8368
274	531	8365
275	533	8360
276	534	8350
277	536	8341
278	538	8337
279	539	8332
280	541	8332
281	543	8324
282	545	8322
283	546	8316
284	548	8312
285	550	8309
286	552	8304
287	554	8299
288	555	8294
289	557	8292
290	559	8286
291	560	8279
292	562	8279
293	564	8274
294	566	8268
295	568	8267
296	569	8260
297	571	8258
298	573	8256
299	575	8250
300	577	8248
301	578	8243
302	580	8242
303	582	8240
304	584	8235
305	586	8231
306	588	8229
307	589	8224
308	591	8219
309	593	8210
310	594	8200
311	596	8199
312	598	8195
313	599	8186
314	601	8181
315	602	8173
316	604	8169
317	606	8166
318	607	8161
319	609	8152
320	611	8151
321	612	8144
322	614	8140
323	616	8138
324	617	8131
325	619	8126
326	620	8118
327	622	8113
328	624	8106
329	626	8104
330	628	8106
331	629	8102
332	631	8094
333	633	8090
334	635	8089
335	636	8087
336	638	8084
337	640	8082
338	642	8083
339	644	8082
340	646	8079
341	648	8078
342	650	8071
343	652	8071
344	653	8065
345	655	8061
346	657	8062
347	659	8058
348	661	8056
349	663	8056
350	665	8055
351	666	8052
352	668	8046
