season_year,round_number,circuit_id,driver_id,starting_grid_position,finishing_position,grid_penalty_places,grid_penalty_flag,q2_flag,q3_flag,driver_points_scored,driver_championship_rank,constructor_id,constructor_points_scored,constructor_championship_rank,rqtd_sec,rqtd_pct
2022,1,bahrain,leclerc,1,1,0,0,1,1,26,1,ferrari,44,1,0.0,0.0
2022,1,bahrain,sainz,3,2,0,0,1,1,18,2,ferrari,44,1,0.1290000000000049,0.14245014245015675
2022,1,bahrain,hamilton,5,3,0,0,1,1,15,3,mercedes,27,2,0.4900000000000091,0.541089688376517
2022,1,bahrain,russell,9,4,0,0,1,1,12,4,mercedes,27,2,0.6940000000000026,0.7663596810883577
2022,1,bahrain,kevin_magnussen,7,5,0,0,1,1,10,5,haas,10,3,0.9030000000000058,0.9971509971510084
2022,1,bahrain,bottas,6,6,0,0,1,1,8,6,alfa,9,4,1.0020000000000095,1.1064731994964605
2022,1,bahrain,ocon,11,7,0,0,1,0,6,7,alpine,8,5,1.2240000000000038,1.3516199562711328
2022,1,bahrain,tsunoda,16,8,0,0,0,0,4,8,alphatauri,4,6,2.1920000000000073,2.4205481569822718
2022,1,bahrain,alonso,8,9,0,0,1,1,2,9,alpine,8,5,1.0630000000000024,1.173833344375974
2022,1,bahrain,zhou,15,10,0,0,1,0,1,10,alfa,9,4,1.9350000000000023,2.136752136752129
2022,1,bahrain,mick_schumacher,12,11,0,0,1,0,0,11,haas,10,3,1.440000000000012,1.5901411250248687
2022,1,bahrain,stroll,19,12,0,0,0,0,0,12,aston_martin,0,7,2.4740000000000038,2.731950793966309
2022,1,bahrain,albon,14,13,0,0,1,0,0,13,williams,0,8,2.1060000000000088,2.3255813953488413
2022,1,bahrain,ricciardo,18,14,0,0,0,0,0,14,mclaren,0,9,2.3870000000000005,2.6358797676627077
2022,1,bahrain,norris,13,15,0,0,1,0,0,15,mclaren,0,9,1.450000000000017,1.6011837717264221
2022,1,bahrain,latifi,20,16,0,0,0,0,0,16,williams,0,8,3.0760000000000076,3.3967181254003
2022,1,bahrain,hulkenberg,17,17,0,0,0,0,0,17,aston_martin,0,7,2.2190000000000083,2.450363303076486
2022,1,bahrain,perez,4,18,0,0,1,1,0,18,red_bull,0,10,0.36299999999999955,0.40084807526667987
2022,1,bahrain,max_verstappen,2,19,0,0,1,1,0,19,red_bull,0,10,0.12300000000000466,0.13582455442922026
2022,1,bahrain,gasly,10,20,0,0,1,1,0,,alphatauri,4,6,1.0770000000000124,1.1892930497581888
2022,2,jeddah,max_verstappen,4,1,0,0,1,1,25,3,red_bull,37,3,0.2609999999999957,0.29591836734692567
2022,2,jeddah,leclerc,2,2,0,0,1,1,45,1,ferrari,78,1,0.024999999999991473,0.028344671201807614
2022,2,jeddah,sainz,3,3,0,0,1,1,33,2,ferrari,78,1,0.20199999999999818,0.2290249433106517
